Dept_old_Id,Department_Name,Group_Id
102,Singir Wellfield Project Study,1
103,Begunbari & Hatirjheel Khal Proj,1
110,Chief Engineering (O&M),1
111,CRO Office,1
112,D M D (Admin) Office,1
114,Additional Chief Engineer (RP&D),1
115,Geographical Info. System,1
116,MODS Zone - 7,1
117,MODS Zone - 8,1
118,MODS Zone - 9,1
119,MODS Zone - 10,1
120,Commercial Manager  Office,1
121,Accounts Department,1
122,Revenue (Govt Zone),1
123,Revenue Zone - 1,1
124,Revenue Zone - 2,1
126,Revenue Zone - 4,1
128,Revenue Zone - 6,1
129,Revenue Zone - Narayanganj,3
130,Personnel Management Division - 1,1
131,MIS & Billing Department,1
132,Law Division,1
133,"Planning, Moni. & Eva. Division",1
134,Transport Pool Section,1
135,Labour & Welfare,1
136,Medical Center,1
137,Internal Audit Division,1
138,Magistrate - 1,1
139,Security & Intelligence Division,1
140,Land Division,1
141,Public Information Division,1
143,D M D (Finance)  Office,1
144,Civil Maintenance Division,1
145,MD Office,1
146,Secretary  Office,1
147,D A Section,1
148,Personnel Management Division - 2,1
149,Common Service Division,1
150,Board Section,1
151,O S D,1
153,D M D (RP&D)  Office,1
155,Revenue Zone - 7,1
160,Training Center,1
161,Procurement Division - 2,1
162,Drainage Circle (R&D),2
163,Drainage Div (R&D) - 1,2
164,Drainage Div (R&D) - 2,2
165,Water Rehab. & Development Circle,1
166,Water Rehab. & Dev. Division - 3,1
169,D M D (O&M) Office,1
170,P & D Circle,1
175,Env. & Monitoring Division,1
177,F M Division - 2,1
178,Generator Division,1
179,MODS 2 Circle,1
180,Sewer Rehab. & Development Circle,1
181,DWSSD Project Tech - 2,4
185,S M & W C Circle,1
186,Saidabad Water Treat. Plant (Maint.),1
189,DWSSD Project Tech - 1,4
190,R P E & M Circle,1
191,Water Rehab. & Dev. Division - 2,1
195,Dhaka WS&S Project,1
200,MODS 1 Circle,1
205,Drainage (O&M) Div - 1,2
208,Drainage (O&M) Div - 2,2
211,Drainage (E&M) Division,2
214,Drainage ( O & M ) Circle,2
217,ERE WSS Project,1
218,Narayangonj - ERWSSP,1
220,Meter Division,1
230,Store Division,1
250,Procurement Division - 1,1
260,Civil Construction Division,1
270,MODS Zone - 1,1
280,MODS Zone - 2,1
290,MODS Zone - 3,1
300,MODS Zone - 4,1
310,MODS Zone - 5,1
320,MODS Zone - 6,1
330,F M Division - 1,1
340,Sewerage (C & D) - 1,1
350,Sewerage (C & D) - 2,1
360,Water Rehab. & Dev. Division - 1,1
370,S O C Division,1
380,Waste Prevention Division,1
390,P & D (Water & Hydrology) Division,1
400,P & D (Sewer) Division,1
410,P & D (Elec. & Mech.) Division,1
420,Quality Control Unit,1
440,Narayanganj Water Supply,3
450,Pagla Sewer Treatment Plant,1
460,Dhaka Water Works,1
470,Saidabad Water Treat.Plant (Opn),1
472,Pagla WTP Project,1
473,P & D (Drainage) Division,2
477,DWASA Bottled Water Plant,1
478,Dhaka WSSD Project,4
479,Magistrate - 2,1
480,Proj Gulshan-Baridhara Unnayan,1
481,Dhaka Env. Sustainability WSP,1
482,Saidabad Phase III Project,1
601,Proj DasherKandi Sewer,1
602,Revenue Zone-5,1
603,P R L  ,1
604,IUWSP,1
605,Padma (Josholdia) WTP Project,1
606,Sustainable Power Solution At Saidabad,1
607,DN (Uttara Casement) LA for STP Proj.,1
608,DWSNIP,4
609,DWSNIP Tech-1,4
610,DWSNIP Tech-2,4
611,Kallanpur Regulating Pond Reservation Project,1
612,PA DSIP(Phase-1),1
613,SAWSDS OF PWTP,
614,Revenue Zone- 3,1
615,Revenue Zone- 8,1
616,Revenue Zone- 9,1
617,Revenue Zone- 10,1
618,Water and Sewage Treatment Plant Circle,1
619,Savar-Keranigonj Well Field Plant,1
620,Overtime Deleted,
999,All Department,1
